timestamp,header_stamp,rudder,propeller,covariance
1738937825829879738,1738937825.8288426,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937825920389996,1738937825.9193203,-15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826003726985,1738937826.0026813,-17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826095202130,1738937826.0942717,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826188514887,1738937826.1875274,-22.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826309743764,1738937826.3087428,-25.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826403406729,1738937826.401133,-27.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826504539134,1738937826.50349,-30.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937826611123728,1738937826.6100695,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937827186757209,1738937827.1856217,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937827694337197,1738937827.6930902,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937828201092255,1738937828.2001483,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937828707462662,1738937828.7063646,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937829214207314,1738937829.2131662,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937829721260934,1738937829.7203457,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937830227697246,1738937830.2266376,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937830734362326,1738937830.733426,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937831240268789,1738937831.2391398,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937831747067568,1738937831.745919,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937832254287534,1738937832.2532222,-32.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
